University of Peradeniya
Profile,Verified Email,Citations,URL
"RMG RAJAPAKSE (B.Sc. honours, Ph.D., DIC, FRSC, FNASSL, MAAAS, MSLAAS, C.Chem.)",pdn.ac.lk,2552,https://scholar.google.com/citations?hl=en&user=q101KUgAAAAJ
Gayan Bowatte,pdn.ac.lk,2486,https://scholar.google.com/citations?hl=en&user=FyIbhgQAAAAJ
Dhammika Elkaduwe,ce.pdn.ac.lk,2361,https://scholar.google.com/citations?hl=en&user=zLUPMFkAAAAJ
"oliver Ileperuma, O.Ileperuma, OAIleperuma, Oliver A. Ileperuma",pdn.ac.lk,2239,https://scholar.google.com/citations?hl=en&user=J7Gh4uEAAAAJ
BMR Bandara,pdn.ac.lk,1866,https://scholar.google.com/citations?hl=en&user=sn5fawUAAAAJ
Lilani Ekanayake,pdn.ac.lk,1828,https://scholar.google.com/citations?hl=en&user=LBKJjkEAAAAJ
WAJM De Costa,pdn.ac.lk,1642,https://scholar.google.com/citations?hl=en&user=xUgfaE4AAAAJ
Shameen Jinadasa (KBSN),pdn.ac.lk,1542,https://scholar.google.com/citations?hl=en&user=nEZ-1LUAAAAJ
Missaka Wijayagunawardane,pdn.ac.lk,1521,https://scholar.google.com/citations?hl=en&user=BR7eETkAAAAJ
Niroshani Soysa,pdn.ac.lk,1453,https://scholar.google.com/citations?hl=en&user=jgDjh3AAAAAJ
Professor Terrence Madhujith,pdn.ac.lk,1366,https://scholar.google.com/citations?hl=en&user=hF0TYQsAAAAJ
"Samadarani Siriwardena, BSM,",pdn.ac.lk,1361,https://scholar.google.com/citations?hl=en&user=jCX3_6gAAAAJ
KW Lasantha K. Weerasinghe,pdn.ac.lk,1322,https://scholar.google.com/citations?hl=en&user=KfTCymgAAAAJ
Kalana Maduwage,pdn.ac.lk,1298,https://scholar.google.com/citations?hl=en&user=lf3F3OsAAAAJ
Avanthi Deshani Igalavithana,agri.pdn.ac.lk,1293,https://scholar.google.com/citations?hl=en&user=4t1mRCYAAAAJ
Anura Jayasooriya,pdn.ac.lk,1289,https://scholar.google.com/citations?hl=en&user=uFSMggwAAAAJ
neelakanthi ratnatunga,pdn.ac.lk,1235,https://scholar.google.com/citations?hl=en&user=lo8z6GoAAAAJ
Kithsiri Liyanage,ee.pdn.ac.lk,1232,https://scholar.google.com/citations?hl=en&user=Vm_qp-IAAAAJ
Neil Alles,pdn.ac.lk,1225,https://scholar.google.com/citations?hl=en&user=lsCjmYUAAAAJ
Sarath P. Nissanka,pdn.ac.lk,1170,https://scholar.google.com/citations?hl=en&user=LahAS5sAAAAJ
"Suriyagoda, Lalith",agri.pdn.ac.lk,1151,https://scholar.google.com/citations?hl=en&user=KXJRKTAAAAAJ
HMTGA Pitawala,pdn.ac.lk,1124,https://scholar.google.com/citations?hl=en&user=u7tPXswAAAAJ
Sanjeewa PK Malaviarachchi,pdn.ac.lk,1104,https://scholar.google.com/citations?hl=en&user=Z-4ZcKIAAAAJ
MIM Mowjood,pdn.ac.lk,1078,https://scholar.google.com/citations?hl=en&user=1NTz6SgAAAAJ
Athula Bandara,pdn.ac.lk,1066,https://scholar.google.com/citations?hl=en&user=XETeeBYAAAAJ
Buddhi Marambe,pdn.ac.lk,1064,https://scholar.google.com/citations?hl=en&user=XAYFCXMAAAAJ
Roshan G Ragel,eng.pdn.ac.lk,1055,https://scholar.google.com/citations?hl=en&user=UTYj8usAAAAJ
DHS Maithripala,eng.pdn.ac.lk,1041,https://scholar.google.com/citations?hl=en&user=EQjg8fsAAAAJ
DKNG Pushpakumara (Gamini Pushpakumara),pdn.ac.lk,1038,https://scholar.google.com/citations?hl=en&user=5vrJ34IAAAAJ
Pubudu Samarasekara,pdn.ac.lk,1017,https://scholar.google.com/citations?hl=en&user=9ekUeGQAAAAJ
TMWJ Bandara,sci.pdn.ac.lk,966,https://scholar.google.com/citations?hl=en&user=Bj88G9wAAAAJ
Rupika Subashini Rajakaruna (Amarakoon),pdn.ac.lk,966,https://scholar.google.com/citations?hl=en&user=tbULYTsAAAAJ
MARM Fernando,ee.pdn.ac.lk,949,https://scholar.google.com/citations?hl=en&user=1bM35yEAAAAJ
Jeevika Weerahewa,pdn.ac.lk,928,https://scholar.google.com/citations?hl=en&user=0iDBKrIAAAAJ
CMB Dematawewa,pdn.ac.lk,921,https://scholar.google.com/citations?hl=en&user=IMuRZ4sAAAAJ
Mangalika Wickramasinghe,pdn.ac.lk,906,https://scholar.google.com/citations?hl=en&user=GiV-peYAAAAJ
Pushpakumara PGA,pdn.ac.lk,887,https://scholar.google.com/citations?hl=en&user=5RY-DiwAAAAJ
Anura Wickramasinghe,pdn.ac.lk,862,https://scholar.google.com/citations?hl=en&user=YFK2GuwAAAAJ
UWA Vitharana,pdn.ac.lk,854,https://scholar.google.com/citations?hl=en&user=mejvHS4AAAAJ
AM Karunaratne,pdn.ac.lk,835,https://scholar.google.com/citations?hl=en&user=OoRTNrQAAAAJ
Sarath S Kodithuwakku,pdn.ac.lk,832,https://scholar.google.com/citations?hl=en&user=12QPDEMAAAAJ
Himali Samaraweera/SMC Himali,pdn.ac.lk,815,https://scholar.google.com/citations?hl=en&user=jDBML6IAAAAJ
Saumya Wickramasinghe,pdn.ac.lk,808,https://scholar.google.com/citations?hl=en&user=t_EYdtUAAAAJ
Sanath Rajapakse,pdn.ac.lk,776,https://scholar.google.com/citations?hl=en&user=Ba6lcLQAAAAJ
Varuni Seneviratne,pdn.ac.lk,771,https://scholar.google.com/citations?hl=en&user=QpmuSXgAAAAJ
Faseeha Noordeen,pdn.ac.lk,770,https://scholar.google.com/citations?hl=en&user=NdqNfXIAAAAJ
Pradeepa Silva/ GLLP Silva/ P. Silva,pdn.ac.lk,760,https://scholar.google.com/citations?hl=en&user=0to1jJAAAAAJ
KDW Nandalal,pdn.ac.lk,756,https://scholar.google.com/citations?hl=en&user=cZeAvTwAAAAJ
Kirthi Walgama,pdn.ac.lk,755,https://scholar.google.com/citations?hl=en&user=t4pDr-IAAAAJ
Primali Rukmal Jayasooriya,pdn.ac.lk,752,https://scholar.google.com/citations?hl=en&user=evC2DEsAAAAJ
Chamila  Gunathilake,pdn.ac.lk,745,https://scholar.google.com/citations?hl=en&user=GMURNCEAAAAJ
Dileni Gunewardena,pdn.ac.lk,741,https://scholar.google.com/citations?hl=en&user=s_ff_ZkAAAAJ
Saluka Ranasinghe Kodituwakku,pdn.ac.lk,727,https://scholar.google.com/citations?hl=en&user=PwZyjZUAAAAJ
Nadeesh Madusanka Adassooriya,eng.pdn.ac.lk,723,https://scholar.google.com/citations?hl=en&user=mO28_rgAAAAJ
Asiri Abeyagunawardena,pdn.ac.lk,719,https://scholar.google.com/citations?hl=en&user=3oJ_P7EAAAAJ
Tilak Hewawasam,pdn.ac.lk,715,https://scholar.google.com/citations?hl=en&user=G8WgsS0AAAAJ
Lochana Menikarachchi,pdn.ac.lk,703,https://scholar.google.com/citations?hl=en&user=5gUly_MAAAAJ
A Tilakaratne,pdn.ac.lk,691,https://scholar.google.com/citations?hl=en&user=JEWdd4cAAAAJ
Gehan J Panagoda,pdn.ac.lk,651,https://scholar.google.com/citations?hl=en&user=wxbllm0AAAAJ
Barana Jayawardana,pdn.ac.lk,643,https://scholar.google.com/citations?hl=en&user=cwHe604AAAAJ
Sarath sisira kumara,ee.pdn.ac.lk,643,https://scholar.google.com/citations?hl=en&user=FgMG8cgAAAAJ
Venura Herath,agri.pdn.ac.lk,639,https://scholar.google.com/citations?hl=en&user=Xy260E8AAAAJ
Suneth Namal (PhD),ce.pdn.ac.lk,635,https://scholar.google.com/citations?hl=en&user=G39TP7EAAAAJ
Prof. LRAK Bandara / Prof. LRA Kalinga Bandara,pdn.ac.lk,620,https://scholar.google.com/citations?hl=en&user=8eX-u4wAAAAJ
MHF Sakeena,pdn.ac.lk,619,https://scholar.google.com/citations?hl=en&user=YQXFKy4AAAAJ
KMG Gehan Jayasuriya,pdn.ac.lk,605,https://scholar.google.com/citations?hl=en&user=LBastPkAAAAJ
Susiji Wickramasinghe,pdn.ac.lk,602,https://scholar.google.com/citations?hl=en&user=nQHq2JYAAAAJ
Chandima Gunawardana,pdn.ac.lk,599,https://scholar.google.com/citations?hl=en&user=6ng-7roAAAAJ
Wasantha Athukorala,pdn.ac.lk,596,https://scholar.google.com/citations?hl=en&user=Ek-o-jQAAAAJ
Ayanthi Navaratne,pdn.ac.lk,586,https://scholar.google.com/citations?hl=en&user=tXoGzTsAAAAJ
Buddhika Dassanayake,pdn.ac.lk,578,https://scholar.google.com/citations?hl=en&user=AeOvNnQAAAAJ
Disala Uduwawala,ee.pdn.ac.lk,552,https://scholar.google.com/citations?hl=en&user=dgHvk2cAAAAJ
Suranga P. Kodithuwakku,agri.pdn.ac.lk,539,https://scholar.google.com/citations?hl=en&user=g1E8xKwAAAAJ
Sumedha Madawala,pdn.ac.lk,538,https://scholar.google.com/citations?hl=en&user=aBw7qSgAAAAJ
Mervyn Parakrama B Ekanayake ; Parakrama B Ekanayake,ee.pdn.ac.lk,538,https://scholar.google.com/citations?hl=en&user=uJvb7zwAAAAJ
Karunananda Pemasiri,pdn.ac.lk,535,https://scholar.google.com/citations?hl=en&user=1E0ummoAAAAJ
GM Roshan Indika Godaliyadda ; GMRI Godaliyadda,ee.pdn.ac.lk,531,https://scholar.google.com/citations?hl=en&user=6_XOJbsAAAAJ
Saman Dharmakeerthi,pdn.ac.lk,526,https://scholar.google.com/citations?hl=en&user=nyBXQVAAAAAJ
Kamalanath Samarakoon,ce.pdn.ac.lk,516,https://scholar.google.com/citations?hl=en&user=DsG-K0sAAAAJ
Tharaka Dassanayake,pdn.ac.lk,508,https://scholar.google.com/citations?hl=en&user=I0hw25kAAAAJ
Janaka Wijayakulasooriya,ee.pdn.ac.lk,493,https://scholar.google.com/citations?hl=en&user=aw_EvZ4AAAAJ
Medagama Ushanka Arjuna B,pdn.ac.lk,491,https://scholar.google.com/citations?hl=en&user=tWsAzl4AAAAJ
Sooriyapathirana  Suneth Sithumini,pdn.ac.lk,488,https://scholar.google.com/citations?hl=en&user=eBDHRyUAAAAJ
Palitha Weerakkody,pdn.ac.lk,488,https://scholar.google.com/citations?hl=en&user=_q8QN50AAAAJ
PWSK Bandaranayake,pdn.ac.lk,478,https://scholar.google.com/citations?hl=en&user=LlGZR2IAAAAJ
Thilak Jayalath,pdn.ac.lk,474,https://scholar.google.com/citations?hl=en&user=xmU7qkAAAAAJ
"Asela K. Kulatunga, AK Kulatunga,KMAKKulatunga",pdn.ac.lk,460,https://scholar.google.com/citations?hl=en&user=2NdjRdwAAAAJ
NDK Dayawansa,pdn.ac.lk,454,https://scholar.google.com/citations?hl=en&user=wNSjkgQAAAAJ
Ruwan Jayasinghe,pdn.ac.lk,451,https://scholar.google.com/citations?hl=en&user=l_TaSvgAAAAJ
RMLD Rathnayake (Lashitha Rathnayake),eng.pdn.ac.lk,450,https://scholar.google.com/citations?hl=en&user=TslrWckAAAAJ
Ramya Malkanthi Fonseka,agri.pdn.ac.lk,448,https://scholar.google.com/citations?hl=en&user=j8zYhqkAAAAJ
Dr. V. Sivakumar,pdn.ac.lk,443,https://scholar.google.com/citations?hl=en&user=AuDbk2oAAAAJ
Udaya  Ralapanawa,pdn.ac.lk,438,https://scholar.google.com/citations?hl=en&user=Qlk9u7sAAAAJ
DGGP Karunaratne,pdn.ac.lk,433,https://scholar.google.com/citations?hl=en&user=9KOQ5N4AAAAJ
JP Eeswara,pdn.ac.lk,425,https://scholar.google.com/citations?hl=en&user=J5mF5MgAAAAJ
Panduka Gunawardena,pdn.ac.lk,419,https://scholar.google.com/citations?hl=en&user=wSev3KMAAAAJ
Dr. Thiloka C. Ariyasena,pdn.ac.lk,418,https://scholar.google.com/citations?hl=en&user=yzFE694AAAAJ
Chandika Gamage,pdn.ac.lk,406,https://scholar.google.com/citations?hl=en&user=aORs9KQAAAAJ
SB Weerakoon,pdn.ac.lk,406,https://scholar.google.com/citations?hl=en&user=MahdMI8AAAAJ
nadeeshani nanayakkara,pdn.ac.lk,405,https://scholar.google.com/citations?hl=en&user=VItOG50AAAAJ
Dr. MCM Nasvi,eng.pdn.ac.lk,400,https://scholar.google.com/citations?hl=en&user=hUlvG4EAAAAJ
Gemunu Herath,pdn.ac.lk,397,https://scholar.google.com/citations?hl=en&user=ynadF5sAAAAJ
"Pushpakanthie Wijekoon, P. Wijekoon",pdn.ac.lk,392,https://scholar.google.com/citations?hl=en&user=UKEe2AsAAAAJ
Appudurai Arulkanthan,pdn.ac.lk,388,https://scholar.google.com/citations?hl=en&user=QZIo5pkAAAAJ
SG Abeyratne,ee.pdn.ac.lk,385,https://scholar.google.com/citations?hl=en&user=OcYDRNAAAAAJ
Arjuna Parakrama,pdn.ac.lk,385,https://scholar.google.com/citations?hl=en&user=tmEJhhwAAAAJ
Ananda Jayasinghe,pdn.ac.lk,379,https://scholar.google.com/citations?hl=en&user=vwyNhzsAAAAJ
Sulochana Wijetunge,pdn.ac.lk,378,https://scholar.google.com/citations?hl=en&user=HF2MUf8AAAAJ
RMSBK Ranasinghe,vet.pdn.ac.lk,374,https://scholar.google.com/citations?hl=en&user=DK6d_6UAAAAJ
Ranjith Pallegama,pdn.ac.lk,371,https://scholar.google.com/citations?hl=en&user=zy9gWqIAAAAJ
Parakrama Weligamage(ORCID:0000-0002-1552-7783),pdn.ac.lk,367,https://scholar.google.com/citations?hl=en&user=2E0SmAMAAAAJ
Janaki Mohotti,pdn.ac.lk,367,https://scholar.google.com/citations?hl=en&user=xvpQdtIAAAAJ
JG Shirani  Ranasinghe,pdn.ac.lk,366,https://scholar.google.com/citations?hl=en&user=3gLmI88AAAAJ
Primal Fernando,eng.pdn.ac.lk,363,https://scholar.google.com/citations?hl=en&user=yzsCreAAAAAJ
Kavindra Wijesundera,vet.pdn.ac.lk,355,https://scholar.google.com/citations?hl=en&user=36GU0_0AAAAJ
Inoka welagedara,agri.pdn.ac.lk,355,https://scholar.google.com/citations?hl=en&user=NFrEzJ4AAAAJ
Ishanie Rangeeka Perera,sci.pdn.ac.lk,348,https://scholar.google.com/citations?hl=en&user=woVfkdUAAAAJ
Niromi Jayasekera (Niromi Arambepola),vet.pdn.ac.lk,342,https://scholar.google.com/citations?hl=en&user=PxRZe0cAAAAJ
Veranja Liyanapathirana,pdn.ac.lk,338,https://scholar.google.com/citations?hl=en&user=r89mDooAAAAJ
Ruwan Parakramawansha,pdn.ac.lk,336,https://scholar.google.com/citations?hl=en&user=d4RAxHUAAAAJ
Lalani Yatawara,pdn.ac.lk,336,https://scholar.google.com/citations?hl=en&user=zxpjHFoAAAAJ
LRK Perera,sci.pdn.ac.lk,336,https://scholar.google.com/citations?hl=en&user=E-QUR_cAAAAJ
Shanthini Rosairo,pdn.ac.lk,329,https://scholar.google.com/citations?hl=en&user=jsff9IEAAAAJ
S Samita,pdn.ac.lk,323,https://scholar.google.com/citations?hl=en&user=Zxat8ooAAAAJ
DR Anuruddhika Dissanayake,vet.pdn.ac.lk,320,https://scholar.google.com/citations?hl=en&user=w5yC2zwAAAAJ
WA Inoka P. Karunaratne,pdn.ac.lk,318,https://scholar.google.com/citations?hl=en&user=y0_jp1IAAAAJ
Chandana Jayalath,pdn.ac.lk,312,https://scholar.google.com/citations?hl=en&user=5nJocyoAAAAJ
Sampath Deegalla,pdn.ac.lk,303,https://scholar.google.com/citations?hl=en&user=QDoeGtYAAAAJ
Anoma Perera,sci.pdn.ac.lk,302,https://scholar.google.com/citations?hl=en&user=qOM05vgAAAAJ
"atula senaratne, A.Senaratne",pdn.ac.lk,300,https://scholar.google.com/citations?hl=en&user=tvju5pMAAAAJ
KS Hemachandra,pdn.ac.lk,299,https://scholar.google.com/citations?hl=en&user=uVou5RkAAAAJ
Dharmagunawardhane,pdn.ac.lk,299,https://scholar.google.com/citations?hl=en&user=VjZTIVMAAAAJ
Suyama Meegaskumbura,pdn.ac.lk,298,https://scholar.google.com/citations?hl=en&user=LyGC1uYAAAAJ
Lilantha Samaranayake,ee.pdn.ac.lk,290,https://scholar.google.com/citations?hl=en&user=NJCYQPIAAAAJ
"Priyanga Wijesinghe, Ph.D.",pdn.ac.lk,286,https://scholar.google.com/citations?hl=en&user=9RzDzUYAAAAJ
MAPChamikara,pdn.ac.lk,281,https://scholar.google.com/citations?hl=en&user=qmrOTn4AAAAJ
HKI Perera,pdn.ac.lk,279,https://scholar.google.com/citations?hl=en&user=MYAhbXoAAAAJ
Nilmini Jayasena,pdn.ac.lk,277,https://scholar.google.com/citations?hl=en&user=lKH2Ba8AAAAJ
Kosala Marambe,pdn.ac.lk,276,https://scholar.google.com/citations?hl=en&user=qkWQBIMAAAAJ
HAH Jayasena,pdn.ac.lk,271,https://scholar.google.com/citations?hl=en&user=ABOLCRsAAAAJ
Manjula Sandirigama,ce.pdn.ac.lk,268,https://scholar.google.com/citations?hl=en&user=qpmlrL0AAAAJ
Vijitha Herath,ee.pdn.ac.lk,262,https://scholar.google.com/citations?hl=en&user=f5h5ByUAAAAJ
Chandra Abeysekera,pdn.ac.lk,259,https://scholar.google.com/citations?hl=en&user=ZBSjb7sAAAAJ
Nalin Suranjith Gama-Arachchige,pdn.ac.lk,255,https://scholar.google.com/citations?hl=en&user=QDrfyfYAAAAJ
Sakunthala Yatigammana Ekanayake,pdn.ac.lk,254,https://scholar.google.com/citations?hl=en&user=hCWruC0AAAAJ
Dilan Satharasinghe,pdn.ac.lk,254,https://scholar.google.com/citations?hl=en&user=bNte-e4AAAAJ
S. Pathmarajah,pdn.ac.lk,253,https://scholar.google.com/citations?hl=en&user=ZDNCXjMAAAAJ
Ajith Premachandra,pdn.ac.lk,253,https://scholar.google.com/citations?hl=en&user=m6z9w18AAAAJ
Shalika Kumburegama,sci.pdn.ac.lk,251,https://scholar.google.com/citations?hl=en&user=0SXngFAAAAAJ
BD Rohitha Prasantha,pdn.ac.lk,249,https://scholar.google.com/citations?hl=en&user=1K1pWv4AAAAJ
Sampath Tennakoon,pdn.ac.lk,249,https://scholar.google.com/citations?hl=en&user=VJiUpzUAAAAJ
Maheshi Danthurebandara,pdn.ac.lk,245,https://scholar.google.com/citations?hl=en&user=40gVLvAAAAAJ
Thanabalasingam Vinayagathasan,pdn.ac.lk,242,https://scholar.google.com/citations?hl=en&user=SHpZtA0AAAAJ
Sanjaya Adikari,pdn.ac.lk,239,https://scholar.google.com/citations?hl=en&user=kFMHGm0AAAAJ
Dr. Anushka Elangasinghe,pdn.ac.lk,238,https://scholar.google.com/citations?hl=en&user=Scxq9tgAAAAJ
Roshan Dharshana Yapa,pdn.ac.lk,231,https://scholar.google.com/citations?hl=en&user=hfEXzKYAAAAJ
Sarathchandra Kodikara,pdn.ac.lk,231,https://scholar.google.com/citations?hl=en&user=opsFJ4AAAAAJ
N. Ekanayake Nimal Ekanayake EMN Ekanayake,ee.pdn.ac.lk,227,https://scholar.google.com/citations?hl=en&user=PcSzUEUAAAAJ
Dr KRM Nimal Ratnayake,ee.pdn.ac.lk,227,https://scholar.google.com/citations?hl=en&user=Dmcs2HYAAAAJ
Upul Jayasinghe (PhD),eng.pdn.ac.lk,222,https://scholar.google.com/citations?hl=en&user=9nBn4b0AAAAJ
Srimali Munasinghe-Arachchige,pdn.ac.lk,222,https://scholar.google.com/citations?hl=en&user=5SqAyd4AAAAJ
Champika V. Hettiarachchi,pdn.ac.lk,218,https://scholar.google.com/citations?hl=en&user=lDxN7igAAAAJ
DDKS Karunanayake,pdn.ac.lk,217,https://scholar.google.com/citations?hl=en&user=nViOSgQAAAAJ
Udayana Ranatunga,pdn.ac.lk,215,https://scholar.google.com/citations?hl=en&user=FiuHB4wAAAAJ
Prabath Janaka Binduhewa,ee.pdn.ac.lk,209,https://scholar.google.com/citations?hl=en&user=qQbjS4oAAAAJ
Thusith Samarakone,pdn.ac.lk,209,https://scholar.google.com/citations?hl=en&user=3bhCQ8EAAAAJ
Dr Sarath Rathnayake,pdn.ac.lk,202,https://scholar.google.com/citations?hl=en&user=2vtWI84AAAAJ
Ruwani Sagarika Kalupahana,vet.pdn.ac.lk,201,https://scholar.google.com/citations?hl=en&user=dSuMz8IAAAAJ
Dhammika Herath,pdn.ac.lk,200,https://scholar.google.com/citations?hl=en&user=UNbzR68AAAAJ
Ranil Rajapaksha/ RHG Ranil,agri.pdn.ac.lk,198,https://scholar.google.com/citations?hl=en&user=sHC66AkAAAAJ
Dr. AMRG  Athapaththu,eng.pdn.ac.lk,197,https://scholar.google.com/citations?hl=en&user=Jd5m47AAAAAJ
EN Jayaweera,sci.pdn.ac.lk,193,https://scholar.google.com/citations?hl=en&user=mVFN1FUAAAAJ
WA Priyanka P. de silva,pdn.ac.lk,193,https://scholar.google.com/citations?hl=en&user=THZzPnsAAAAJ
MD Lamawansa,pdn.ac.lk,190,https://scholar.google.com/citations?hl=en&user=rn-g1lIAAAAJ
Dr. TC Weeraratne,pdn.ac.lk,189,https://scholar.google.com/citations?hl=en&user=uE5m_YIAAAAJ
Pabodha Weththasinghe,pdn.ac.lk,188,https://scholar.google.com/citations?hl=en&user=wO6HyUgAAAAJ
Lashitha Rathnayake,eng.pdn.ac.lk,188,https://scholar.google.com/citations?hl=en&user=oQoefTEAAAAJ
Manawadevi Y. Udugala-Ganehenege,pdn.ac.lk,186,https://scholar.google.com/citations?hl=en&user=qCo3ySsAAAAJ
Ruwan Nawarathna,pdn.ac.lk,184,https://scholar.google.com/citations?hl=en&user=T48YAL4AAAAJ
Anoja S. Ariyasinghe,pdn.ac.lk,182,https://scholar.google.com/citations?hl=en&user=hZbPt5IAAAAJ
Anurudda Kumara Karunarathna,pdn.ac.lk,180,https://scholar.google.com/citations?hl=en&user=A9tZlaAAAAAJ
Sinniah K. Navaratnarajah,eng.pdn.ac.lk,180,https://scholar.google.com/citations?hl=en&user=v0yNGLQAAAAJ
Prof. Gamini Hitinayake,pdn.ac.lk,178,https://scholar.google.com/citations?hl=en&user=7UbZXi8AAAAJ
KWG Rekha Nianthi,pdn.ac.lk,173,https://scholar.google.com/citations?hl=en&user=fCFSfk8AAAAJ
Maheshi B. Dissanayake,ee.pdn.ac.lk,172,https://scholar.google.com/citations?hl=en&user=TJ5YHPkAAAAJ
Chantha Jayawardena,pdn.ac.lk,171,https://scholar.google.com/citations?hl=en&user=G9IciMsAAAAJ
Shyama Banneheka,pdn.ac.lk,169,https://scholar.google.com/citations?hl=en&user=Wuje3tgAAAAJ
Dr.Wijaya Jayatilaka,pdn.ac.lk,167,https://scholar.google.com/citations?hl=en&user=BXuS8h8AAAAJ
SACN Perera,agri.pdn.ac.lk,166,https://scholar.google.com/citations?hl=en&user=LXkxGqIAAAAJ
RS Thalgahagoda,pdn.ac.lk,165,https://scholar.google.com/citations?hl=en&user=gKGPeBAAAAAJ
Nalin Harischandra,ee.pdn.ac.lk,164,https://scholar.google.com/citations?hl=en&user=I4I6wxsAAAAJ
NWB Balasooriya,pdn.ac.lk,161,https://scholar.google.com/citations?hl=en&user=A8b3QzIAAAAJ
Sumudu CK Rubasinghe,pdn.ac.lk,160,https://scholar.google.com/citations?hl=en&user=lP636oEAAAAJ
LNA Chandana Jayawardena,pdn.ac.lk,159,https://scholar.google.com/citations?hl=en&user=X9IqDpMAAAAJ
Chaminda Bandara,civil.pdn.ac.lk,154,https://scholar.google.com/citations?hl=en&user=-M1pfLgAAAAJ
Amalka Pinidiyaarachchi,pdn.ac.lk,153,https://scholar.google.com/citations?hl=en&user=2ppMBnEAAAAJ
Janaka Alawatugoda,eng.pdn.ac.lk,153,https://scholar.google.com/citations?hl=en&user=TJWRzj4AAAAJ
RH Kuruppuge,pdn.ac.lk,151,https://scholar.google.com/citations?hl=en&user=Ov4kKc4AAAAJ
Ziyan Maraikar,pdn.ac.lk,147,https://scholar.google.com/citations?hl=en&user=5xf_7TAAAAAJ
Thavananthan Sivananthawerl,pdn.ac.lk,147,https://scholar.google.com/citations?hl=en&user=JEtLfzoAAAAJ
OG Dayaratna-Banda,pdn.ac.lk,146,https://scholar.google.com/citations?hl=en&user=Q8ZN-HsAAAAJ
Malkanthi Daundasekera,pdn.ac.lk,145,https://scholar.google.com/citations?hl=en&user=sHQ6BFoAAAAJ
Harsha Ariyarathna,pdn.ac.lk,145,https://scholar.google.com/citations?hl=en&user=a3tBPLoAAAAJ
Athambawa Sarjoon,pdn.ac.lk,142,https://scholar.google.com/citations?hl=en&user=bnDLfEoAAAAJ
Anuruddha Kankanamge,pdn.ac.lk,140,https://scholar.google.com/citations?hl=en&user=laAhHEgAAAAJ
Sajjiv Ariyasinghe,pdn.ac.lk,139,https://scholar.google.com/citations?hl=en&user=Z0GvLWIAAAAJ
Fazeeha Azmi,pdn.ac.lk,139,https://scholar.google.com/citations?hl=en&user=UNj87wcAAAAJ
Ruchika Fernando,pdn.ac.lk,138,https://scholar.google.com/citations?hl=en&user=lhZIpQoAAAAJ
Ananda Jayakody,pdn.ac.lk,137,https://scholar.google.com/citations?hl=en&user=lM8QtMEAAAAJ
Carmen Wickramagamage,pdn.ac.lk,135,https://scholar.google.com/citations?hl=en&user=JZ4v2cIAAAAJ
"Dr. S. Devapriya Dewasurendra, PhD(Fr),DEA(Fr),MEng(AIT),BScEng(Per,SL),CEng, MIMechE, MIEEE,MIE(SL)",pdn.ac.lk,133,https://scholar.google.com/citations?hl=en&user=tRp6g8EAAAAJ
Deepthi Edussuriya,pdn.ac.lk,129,https://scholar.google.com/citations?hl=en&user=Zv8CkycAAAAJ
Nilupa Amarasinghe,pdn.ac.lk,129,https://scholar.google.com/citations?hl=en&user=xxKR1DsAAAAJ
